row_number,labels,labels_predict
0,0.7035378795770518,1
1,0.6209151587145516,1
2,0.5429152958615556,1
3,0.35342375591991415,0
4,0.3958887955253446,0
5,0.677678831232297,1
6,0.35214594036913344,0
7,0.6828292411563467,1
8,0.4408731862873984,0
9,0.3135197254537665,0
10,0.7443336116579925,1
11,0.7046263691816909,1
12,0.6664904436961843,1
13,0.18571540206171283,0
14,0.6476307224162372,1
15,0.5665469229977836,1
16,0.3294940668671373,0
17,0.4476325897322687,0
18,0.13769572366847702,0
19,0.39731765772095773,0
20,0.5391910605082368,1
21,0.506137823894526,1
22,0.6775477507176279,1
23,0.6171810125900619,1
24,0.7080923514969141,1
25,0.40242786277182135,0
26,0.4841958885674585,0
27,0.7003683744438126,1
28,0.4772820446209398,0
29,0.6040914675635672,1
30,0.33102301260406536,0
31,0.6445647769527398,1
32,0.6741395158516641,1
33,0.6349543411366739,1
34,0.7365900548544205,1
35,0.7396771421257505,1
36,0.7523192333670959,1
37,0.5766113228508142,1
38,0.5834154011957439,1
39,0.32369987345988943,0
40,0.49848921777603905,0
41,0.6734497766925436,1
42,0.5712158598550703,1
43,0.6719119377672053,1
44,0.5808494700298322,1
45,0.4212941275380135,0
46,0.3811111289376356,0
47,0.6368798547907278,1
48,0.5864553634155265,1
49,0.7597098856496083,1
50,0.3267807371828893,0
51,0.2744611505248889,0
52,0.33783582372960014,0
53,0.7557907343414045,1
54,0.6799286761454367,1
55,0.723799602188358,1
56,0.5483298021501375,1
57,0.31108366565380136,0
58,0.6722574205031451,1
59,0.1756354836109867,0
60,0.7193983572144688,1
61,0.7489895222663823,1
62,0.62883845622385,1
63,0.48520479822112633,0
64,0.4395790517134119,0
65,0.4933057833202473,0
66,0.6587992820646523,1
67,0.09031552668815573,0
68,0.4874656604702628,0
69,0.21846856333713977,0
70,0.2229752617033562,0
71,0.5492460001261561,1
72,0.1839112574745062,0
73,0.568241700668434,1
74,0.6243925280430054,1
75,0.3947909920964065,0
76,0.4735173181507288,0
77,0.6610823082626565,1
78,0.6221383408753393,1
79,0.8155131074229893,1
80,0.43373345249767303,0
81,0.48372749361582684,0
82,0.3098766603527565,0
83,0.6433134447987547,1
84,0.22249792551635714,0
85,0.578147292294019,1
86,0.3827718017821735,0
87,0.3832227565131578,0
88,0.46125550101292784,0
89,0.5375271816345142,1
90,0.3577217660265521,0
91,0.18357846681271064,0
92,0.660874745597094,1
93,0.5392843293873752,1
94,0.23419049550524862,0
95,0.684814850982936,1
96,0.5468592651925082,1
97,0.5396685494116272,1
98,0.31372433110930187,0
99,0.512506091645379,1
100,0.7427565206775155,1
101,0.7273445585753769,1
102,0.7323848760198274,1
103,0.4591449454505897,0
104,0.39630290138189483,0
105,0.6271336056940235,1
106,0.24014221717706166,0
107,0.49406611230112013,0
108,0.3016947657100662,0
109,0.3487340791396171,0
110,0.656272674814729,1
111,0.27836278811011794,0
112,0.2628212410677911,0
113,0.2334305057567169,0
114,0.3922637079215296,0
115,0.38155559666556316,0
116,0.29245490133230295,0
117,0.4521271258829497,0
118,0.623576897171812,1
119,0.647717120651953,1
120,0.6980415457918216,1
121,0.621231244619066,1
122,0.1818057304069726,0
123,0.35034402370297946,0
124,0.6680019199361958,1
125,0.29483919686046267,0
126,0.31672741408205035,0
127,0.27861278217627555,0
128,0.6598735574002051,1
129,0.2871404630147842,0
130,0.6215838772404298,1
131,0.6066245965875723,1
132,0.11203485268057792,0
133,0.45452709315298734,0
134,0.32026060269824064,0
135,0.6489900790378331,1
136,0.5134135706189374,1
137,0.2664194246140862,0
138,0.42605629548307744,0
139,0.6421776714830029,1
140,0.6482998148015723,1
141,0.5513609987703252,1
142,0.3439931043059073,0
143,0.5774002821023595,1
144,0.7267826996036028,1
145,0.4076769809114703,0
146,0.8003994047483645,1
147,0.3207804611667097,0
148,0.3707426928357834,0
149,0.4974814466497275,0
150,0.5873181718239643,1
151,0.19678695522776685,0
152,0.5642709347761616,1
153,0.3393576451186201,0
154,0.5475519811323012,1
155,0.4439850579051041,0
156,0.5548393104175103,1
157,0.5308913324734517,1
158,0.4218076573693626,0
159,0.5589347077270036,1
160,0.47610934631174845,0
161,0.31702859625603697,0
162,0.6998939463089886,1
163,0.42350746247941234,0
164,0.4319350457421493,0
165,0.6450124698969634,1
166,0.4423410531646433,0
167,0.2879523472219728,0
168,0.31120690925669114,0
169,0.21186442631005747,0
170,0.38089366465868146,0
171,0.664072638541831,1
172,0.33680928051695974,0
173,0.40278076976743266,0
174,0.36770325392773506,0
175,0.7632260782961119,1
176,0.576990142299025,1
177,0.5161557614764964,1
178,0.5122232654264403,1
179,0.6066139254035062,1
180,0.5513498317069853,1
181,0.3525277804506347,0
182,0.4186378006158537,0
183,0.7555982856138975,1
184,0.3306516997518483,0
185,0.4344676886980232,0
186,0.4621706129200175,0
187,0.7442431749694143,1
188,0.3487260981269596,0
189,0.3273103300788037,0
190,0.594263979753738,1
191,0.6015489863062986,1
192,0.5386590257513388,1
193,0.8536853295590744,1
194,0.6983677391862204,1
195,0.3401234145683493,0
196,0.16780347722666464,0
197,0.5535240115211852,1
198,0.261872338987711,0
199,0.6159096008247193,1
200,0.4084879528447059,0
201,0.48246959251488,0
202,0.25077915397755257,0
203,0.24885973330834774,0
204,0.6095791512173871,1
205,0.3072857133354236,0
206,0.6628988246633738,1
207,0.4783630170714425,0
208,0.6747379585316092,1
209,0.38398229222245944,0
210,0.21880649299989915,0
211,0.29802585130625137,0
212,0.6452723666992896,1
213,0.3826630033962036,0
214,0.23591644398795136,0
215,0.5308322979641847,1
216,0.41697515178669686,0
217,0.6743317177950624,1
218,0.5027674498615413,1
219,0.24076051300630752,0
220,0.26043111561268373,0
221,0.2762565258325705,0
